sessionId,startTs,endTs,durationMs,toolCounts,editAttempts,editFirstTryFailures,editFirstTryFailureRate,maxGrepLoopDepth,intentBucket,intentConfidence,userPromptCount,filesTouched,inputTokens,outputTokens,cacheCreationTokens,cacheReadTokens
0066abca-022a-41be-a9e3-e72a3478254d,2026-04-24T04:15:22.371Z,2026-04-24T04:15:24.931Z,2560,{},0,0,0.0000,0,bug-fix,0.2500,1,,0,0,0,0
008b15ba-758c-4fd5-8531-80da9f3617c4,2026-04-24T16:50:13.678Z,2026-04-25T18:51:16.404Z,93662726,"{""Bash"":20,""Grep"":9,""Read"":18,""ToolSearch"":1,""mcp__context7__resolve-library-id"":1,""mcp__context7__query-docs"":6,""Glob"":6,""Write"":17,""Agent"":2,""Edit"":2}",2,0,0.0000,4,review,0.2000,23,C:\Web App\Agent IDE\src\main\orchestration\providers\claudeCodeLaunch.ts|C:\Web App\Agent IDE\src\main\orchestration\providers\claudeStreamJsonRunner.ts|C:\Web App\Agent IDE\src\main\orchestration\providers\claudeCodeContextBuilder.ts|C:\Web App\Agent IDE\src\main\orchestration\providers\claudeCodeHelpers.ts|C:\Web App\Agent IDE\src\main\internalMcp\internalMcpAutoInject.ts|C:\Web App\Agent IDE\src\main\internalMcp\internalMcpTools.ts|C:\Web App\Agent IDE\src\main\codebaseGraph\mcpToolHandlers.ts|C:\Web App\Agent IDE\roadmap\wave-47-plan.md|C:\Web App\Agent IDE\src\main\codemode\codemodeManager.ts|C:\Web App\Agent IDE\src\main\hookInstallerCommands.ts|C:\Web App\Agent IDE\roadmap\wave-48-plan.md|C:\Web App\Agent IDE\roadmap\wave-49-plan.md|C:\Web App\Agent IDE\roadmap\wave-50-plan.md|C:\Web App\Agent IDE\roadmap\wave-51-plan.md|C:\Web App\Agent IDE\roadmap\wave-52-plan.md|C:\Web App\Agent IDE\roadmap\wave-53-plan.md|C:\Web App\Agent IDE\roadmap\wave-54-plan.md|C:\Users\coles\.claude\plugins\cache\claude-plugins-official\superpowers\5.0.7\agents\code-reviewer.md|C:\Users\coles\.claude\plugins\cache\claude-plugins-official\feature-dev\unknown\agents\code-explorer.md|C:\Users\coles\.claude\plugins\cache\openai-codex\codex\1.0.2\agents\codex-rescue.md|C:\Users\coles\.claude\plugins\cache\claude-plugins-official\feature-dev\unknown\agents\code-architect.md|C:\Users\coles\.claude\plugins\cache\claude-plugins-official\code-simplifier\1.0.0\agents\code-simplifier.md|C:\Users\coles\.claude\plugins\cache\claude-plugins-official\pr-review-toolkit\unknown\agents\silent-failure-hunter.md|C:\Users\coles\.claude\agents\haiku-explorer.md|C:\Users\coles\.claude\agents\haiku-implementer.md|C:\Users\coles\.claude\agents\haiku-lint-fixer.md|C:\Users\coles\.claude\agents\haiku-claude-md-generator.md|C:\Users\coles\.claude\agents\haiku-research-extractor.md|C:\Users\coles\.claude\agents\sonnet-diagnostician.md|C:\Users\coles\.claude\agents\sonnet-refactor-planner.md|C:\Users\coles\.claude\agents\sonnet-implementer.md|C:\Users\coles\.claude\agents\sonnet-batch-coordinator.md|C:\Users\coles\.claude\rules\agent-catalog.md,2011,580885,4000826,35180849
01339ecb-304d-4f99-b962-bd9753a2f13b,2026-04-13T00:49:45.802Z,2026-04-13T00:49:45.803Z,1,{},0,0,0.0000,0,other,0.0000,0,,,,,
01feabc3-2750-4093-b914-bafe9657a0f4,2026-04-11T06:11:42.375Z,2026-04-12T02:40:24.760Z,73722385,"{""Read"":93,""Glob"":9,""Agent"":17,""ToolSearch"":2,""TaskCreate"":14,""TaskUpdate"":32,""Grep"":39,""Bash"":134,""Skill"":2,""Write"":20,""TaskList"":2,""Edit"":74}",74,0,0.0000,7,review,0.1000,19,C:\Web App\Agent IDE\deferredbp.md|C:\Web App\Agent IDE\plan\ide-context-plan\ide-context-repo-mapped-execution-plan.md|C:\Web App\Agent IDE\plan\inline-ai-completions.md|C:\Web App\Agent IDE\plan\context-layer\00-overview.md|C:\Web App\Agent IDE\plan\ide-context-plan\01-agent-1b-context-selector-packet-builder.md|C:\Web App\Agent IDE\plan\ide-context-plan\03-agent-3b-context-controls-reuse.md|C:\Web App\Agent IDE\ai\vision.md|C:\Web App\Agent IDE\plan\multi-provider\context-worker.md|C:\Web App\Agent IDE\src\renderer\components\AgentChat\MentionAutocompleteSupport.ts|C:\Users\coles\AppData\Local\Temp\claude\C--Web-App-Agent-IDE\01feabc3-2750-4093-b914-bafe9657a0f4\tasks\afa0daeca72073f91.output|C:\Web App\Agent IDE\src\main\ipc-handlers\agentChatContext.ts|C:\Web App\Agent IDE\src\shared\types\orchestrationDomain.ts|C:\Web App\Agent IDE\plan\wave5-context-completions\00-spec-draft.md|C:\Web App\Agent IDE\plan\wave5-context-completions\01-architect-review.md|C:\Web App\Agent IDE\.claude\worktrees\agent-ab315af2\src\main\orchestration\contextPacketBuilderReasons.ts|C:\Web App\Agent IDE\.claude\worktrees\agent-ab315af2\src\main\orchestration\contextPacketBuilderReasons.test.ts|C:\Web App\Agent IDE\src\main\orchestration\contextPacketBuilderSupport.ts|C:\Web App\Agent IDE\.claude\worktrees\agent-ab315af2\src\main\orchestration\contextPacketBuilderSupport.ts|C:\Web App\Agent IDE\.claude\worktrees\agent-ab315af2\src\main\orchestration\contextPacketBuilder.ts|C:\Web App\Agent IDE\src\main\orchestration\contextPacketBuilder.ts|C:\Web App\Agent IDE\src\main\storage\database.ts|C:\Web App\Agent IDE\src\main\codebaseGraph\graphStoreTypes.ts|C:\Web App\Agent IDE\src\main\codebaseGraph\graphTypes.ts|C:\Web App\Agent IDE\src\main\embeddings\embeddingTypes.ts|C:\Web App\Agent IDE\src\main\embeddings\embeddingStore.ts|C:\Web App\Agent IDE\src\main\embeddings\embeddingStore.test.ts|C:\Web App\Agent IDE\src\main\embeddings\embeddingChunker.ts|C:\Web App\Agent IDE\src\main\embeddings\embeddingChunker.test.ts|C:\Web App\Agent IDE\src\main\embeddings\index.ts|C:\Web App\Agent IDE\src\main\embeddings\embeddingProvider.ts|C:\Web App\Agent IDE\src\main\embeddings\embeddingProvider.test.ts|C:\Web App\Agent IDE\src\main\embeddings\embeddingSearch.ts|C:\Web App\Agent IDE\src\main\embeddings\embeddingSearch.test.ts|C:\Web App\Agent IDE\src\main\embeddings\embeddingIndexer.ts|C:\Web App\Agent IDE\src\main\embeddings\embeddingIndexer.test.ts|C:\Web App\Agent IDE\src\renderer\components\AgentChat\MentionAutocomplete.tsx|C:\Web App\Agent IDE\src\main\ipc-handlers\embeddingHandlers.ts|C:\Web App\Agent IDE\src\main\ipc-handlers\embeddingHandlers.test.ts|C:\Web App\Agent IDE\src\renderer\types\electron-embedding.d.ts|C:\Web App\Agent IDE\src\main\orchestration\contextSelector.ts|C:\Web App\Agent IDE\src\renderer\components\Settings\GeneralLspSubsection.tsx|C:\Web App\Agent IDE\src\renderer\components\Settings\GeneralSemanticSearchSubsection.tsx|C:\Web App\Agent IDE\src\renderer\components\Settings\GeneralSemanticSearchSubsection.test.tsx|C:\Web App\Agent IDE\src\renderer\components\Settings\GeneralSection.tsx|C:\Web App\Agent IDE\src\main\ipc.ts|C:\Web App\Agent IDE\src\main\ipc-handlers\index.ts|C:\Web App\Agent IDE\src\preload\preloadSupplementalApis.ts|C:\Web App\Agent IDE\src\renderer\types\electron-workspace.d.ts|C:\Web App\Agent IDE\src\renderer\types\electron.d.ts|C:\Web App\Agent IDE\src\main\configSchema.ts|C:\Web App\Agent IDE\src\main\config.ts|C:\Web App\Agent IDE\src\main\ipc-handlers\config.ts|C:\Web App\Agent IDE\spike\run-spike.sh|C:\Web App\Agent IDE\spike\run-spike.ps1|C:\Web App\Agent IDE\src\main\orchestration\contextPacketBuilderHelpers.ts|C:\Web App\Agent IDE\src\main\orchestration\contextPacketBuilderSnippets.ts|C:\Web App\Agent IDE\src\renderer\components\FileViewer\usePersistedToggle.ts|C:\Web App\Agent IDE\package.json|C:\Web App\Agent IDE\src\renderer\components\AgentChat\MentionChip.tsx|C:\Web App\Agent IDE\src\shared\types\orchestrationContext.ts|C:\Web App\Agent IDE\src\main\codebaseGraph\graphStore.ts,23043,451516,7849063,250565486
03e57f5f-c6f7-401e-b3fa-e6dcdd019d3d,2026-04-26T07:08:49.073Z,2026-04-26T18:43:27.728Z,41678655,"{""Read"":32,""Bash"":124,""ToolSearch"":3,""CronCreate"":1,""CronList"":1,""TeamCreate"":1,""Agent"":5,""Write"":3,""SendMessage"":4,""Edit"":31,""TeamDelete"":1,""TaskCreate"":12,""TaskUpdate"":24,""Grep"":1,""PowerShell"":1}",31,0,0.0000,1,review,0.1000,19,C:\Web App\Agent IDE\roadmap\auto-briefs\HANDOFF.md|C:\Web App\Agent IDE\roadmap\auto-briefs\lead-dispatched.md|C:\Web App\lead-log-tree\roadmap\auto-briefs\lead-final.md|C:\Web App\Agent IDE\roadmap\auto-briefs\wave-46-blocked.md|C:\Web App\wave-48-tree\roadmap\auto-briefs\wave-48-result.md|C:\Web App\Agent IDE\src\renderer\components\Layout\ChatOnlyShell\chatOnlyCommandFilter.ts|C:\Web App\wave-46-tree\src\renderer\components\Layout\ChatOnlyShell\ChatOnlyShell.tsx|C:\Web App\Agent IDE\src\main\internalMcp\internalMcpScope.test.ts|C:\Web App\Agent IDE\roadmap\auto-briefs\wave-48.md|C:\Web App\Agent IDE\src\renderer\components\FileViewer\MonacoEditor.test.tsx|C:\Users\coles\.claude\projects\C--Web-App-Agent-IDE\memory\project_telemetry_dark_signals.md|C:\Web App\Agent IDE\src\renderer\components\FileViewer\MonacoEditor.hooks.test.ts|C:\Users\coles\.claude\projects\C--Web-App-Agent-IDE\memory\MEMORY.md|C:\Users\coles\AppData\Local\Temp\claude\C--Web-App-Agent-IDE\03e57f5f-c6f7-401e-b3fa-e6dcdd019d3d\tasks\afc3ae00617a6cc97.output|C:\Web App\Agent IDE\src\main\orchestration\providers\scopedMcpConfig.ts|C:\Web App\Agent IDE\src\main\orchestration\providers\claudeCodeHelpers.ts|C:\Web App\Agent IDE\src\main\orchestration\providers\claudeCodeLaunch.ts|C:\Web App\Agent IDE\src\main\orchestration\providers\scopedMcpConfig.test.ts|C:\Web App\Agent IDE\src\main\internalMcp\internalMcpScope.ts|C:\Web App\Agent IDE\src\main\internalMcp\internalMcpPortRegistry.ts|C:\Web App\Agent IDE\src\main\orchestration\providers\spawnTokenBudget.integration.test.ts,734,296215,2824985,75286500
05d7338a-2021-4732-966b-bbfabea5b54e,2026-04-21T02:18:30.694Z,2026-04-21T02:18:31.516Z,822,{},0,0,0.0000,0,bug-fix,0.2500,1,,0,0,0,0
063d0c36-5f51-433f-96fd-e45852db0074,2026-04-20T03:32:40.025Z,2026-04-20T06:17:30.378Z,9890353,"{""Grep"":15,""Read"":28,""Bash"":84,""Write"":1,""Agent"":7,""ToolSearch"":1,""TaskCreate"":8,""TaskUpdate"":17,""Edit"":14}",14,0,0.0000,3,review,0.1000,10,C:\Web App\Agent IDE\src\renderer\components\AgentChat\AgentChatTabBarParts.extra.tsx|C:\Web App\Agent IDE\src\renderer\hooks\useChatWindowMode.ts|C:\Web App\Agent IDE\src\renderer\components\Layout\layoutPresets\presets.ts|C:/Web App/Agent IDE/roadmap/wave-20-plan.md|C:\Web App\Agent IDE\src\renderer\components\Layout\layoutPresets\LayoutPresetResolver.tsx|C:\Web App\Agent IDE\src\renderer\components\Layout\RightSidebarTabs.tsx|C:\Web App\Agent IDE\src\renderer\components\Layout\IdeToolBridge.tsx|C:/Web App/Agent IDE/roadmap/wave-42-plan.md|C:/Web App/Agent IDE/src/renderer/components/Layout/ChatOnlyShell/ChatOnlyShell.tsx|C:/Web App/Agent IDE/src/renderer/components/Layout/ChatOnlyShell/ChatOnlyTitleBar.tsx|C:/Web App/Agent IDE/src/renderer/components/Layout/ChatOnlyShell/ChatOnlyStatusBar.tsx|C:/Web App/Agent IDE/src/renderer/hooks/useCostTracking.ts|C:/Web App/Agent IDE/src/renderer/styles/mobile-touch-targets.test.ts|C:/Web App/Agent IDE/src/renderer/components/Layout/AppLayout.dnd.test.tsx|C:/Web App/Agent IDE/src/renderer/components/Layout/DroppableSlot.test.tsx|C:/Web App/Agent IDE/src/renderer/components/Layout/EdgeDropZones.test.tsx|C:/Web App/Agent IDE/.gitignore|C:/Web App/Agent IDE/package.json|C:/Web App/Agent IDE/package-lock.json|C:/Web App/Agent IDE/src/main/windowManager.ts|C:/Web App/Agent IDE/src/main/ipc-handlers/sessionCrud.ts|C:/Web App/Agent IDE/src/main/ipc-handlers/sessionCrud.test.ts|C:/Web App/Agent IDE/src/main/codebaseGraph/autoSync.ts|C:/Web App/Agent IDE/src/main/codebaseGraph/autoSync.test.ts|C:/Web App/Agent IDE/CHANGELOG.md,456,196385,694358,53509463
06867f76-626d-4ca5-8f44-0b4894eb3c71,2026-04-21T02:07:36.997Z,2026-04-21T02:08:16.107Z,39110,{},0,0,0.0000,0,bug-fix,0.4167,2,,12,74,47831,74168
06aa9038-dd17-4c3f-a113-b169104d0015,2026-03-29T23:48:34.346Z,2026-03-29T23:48:51.558Z,17212,{},0,0,0.0000,0,feature,0.2222,1,,18,1896,29810,111868
0791e5b3-434c-4a2a-8493-67e1025785ce,2026-03-30T00:03:01.879Z,2026-03-30T00:03:02.410Z,531,{},0,0,0.0000,0,feature,0.2222,1,,0,0,0,0
